Field Name	Description	Data Type	Notes
listen_id	Unique identifier for each listening session.	Integer	Primary Key for Listening Data.
user_id	Anonymized identifier for the user.	String	
track_id	Unique identifier for the track listened to.	String	
artist_name	The artist of the track.	String	
duration_ms	The length of the track in milliseconds.	Integer	
engagement_score	A proxy for user engagement (e.g., likes, shares).	Float	Range from 0.0 to 1.0.
genre_tag	A genre tag assigned to the track.	String	Can be user-generated or platform-assigned.
content_id	Unique identifier for licensed content.	String	Primary Key for licensed catalog.
artist_name	The name of the artist.	String	
album_title	The title of the album or single.	String	
is_licensed	Binary indicator (1 if licensed, 0 if not).	Boolean	This is a key field for identifying gaps.
